GeneID,logFC,logCPM,F,PValue,adj.p,comparision,expression
HORVU.MOREX.r2.5HG0403390,-1.4945379498299973,0.7173155575405544,13.931687338061591,0.0029327779923089482,0.02230206507337524,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0403420,-3.496019960718146,3.103640347394037,30.6529821813292,1.357241053610906e-4,0.0033675796268624646,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0403460,1.9465541632661107,2.803459895547344,61.334147308663276,5.129263242944724e-6,6.473613598661022e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0403500,-1.0825075928305408,3.895558614962126,14.5944989437775,0.002502944364377861,0.020206288294605728,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0403530,2.159797399954628,7.055475875405368,31.148370216731948,1.265030018296843e-4,0.0032303827988414938,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404020,1.7161699233751488,5.1835228587257225,36.920254590058015,5.8980650765402e-5,0.0021640602242782047,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404270,1.03390508114269,6.847159304105607,11.983091443899859,0.004802284392435697,0.030936362256561975,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404290,1.8921041090699355,5.333334966187586,85.19671519232395,9.482709970398199e-7,3.4694153048389664e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404360,-1.0215780862667254,7.945284618725397,41.59755903224287,3.3925572533815365e-5,0.0016021398494275466,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0404400,2.2514324362131206,2.056288874002107,20.690262339712135,6.934403419024404e-4,0.009023284501453939,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404460,1.6275348480678122,4.2154521304231345,22.347748350065295,5.111853218068046e-4,0.007504648823066279,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404570,4.1049782074627705,1.4934211119971712,26.652967986923287,2.4763914643159435e-4,0.004917289344217474,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0404630,-1.0247965511589654,2.6337166935049234,15.17113175187859,0.0021881706420886467,0.018527587459848584,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0404800,2.119529485254349,-0.5221554736491109,15.31606676782794,0.002116519677220526,0.018123479445095497,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0405100,2.7132586728826986,1.9551419163491843,60.40393824424058,5.538041009683625e-6,6.630134387371739e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0405550,1.4740727892724426,2.4768851181777545,11.795615800349692,0.005047401005751492,0.03201911806438039,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0405920,2.2717464815926633,0.5287488756397115,11.193954153813637,0.005939727578642609,0.03551167485385882,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0406300,3.212181876559651,3.75280788697719,11.999091681448233,0.0047820209848915595,0.030871825886929816,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0406370,4.895367323492515,-0.5847398442027762,20.275570178123107,7.503375852501307e-4,0.009430468107424218,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0406490,4.09904187651667,2.878359808170247,72.6654600748182,2.1664323328008448e-6,4.6215944968581557e-4,GABA v.s. Control,Up
